Datetime,Open,High,Low,Close,Volume,DollarValue
2024-03-06 12:48:00-05:00,511.37,511.4813,511.325,511.45,73505,37591192.3192
2024-03-06 12:49:00-05:00,511.42,511.43,511.34,511.39,76440,39091799.2731
2024-03-06 12:50:00-05:00,511.38,511.62,511.38,511.6099,109063,55785173.66
2024-03-06 12:51:00-05:00,511.61,511.62,511.48,511.49,46920,24001925.4272
2024-03-06 12:52:00-05:00,511.49,511.54,511.43,511.45,78221,40007694.9655
2024-03-06 12:53:00-05:00,511.45,511.45,511.325,511.3513,46377,23717227.9462
2024-03-06 12:54:00-05:00,511.36,511.375,511.105,511.18,93952,48034838.0078
2024-03-06 12:55:00-05:00,511.1799,511.19,511.05,511.14,121654,62184653.5166
2024-03-06 12:56:00-05:00,511.135,511.325,511.135,511.28,68355,34943588.9545
2024-03-06 12:57:00-05:00,511.28,511.305,511.18,511.2499,69007,35280860.654
2024-03-06 12:58:00-05:00,511.25,511.35,511.1701,511.1701,52357,26765424.7182
2024-03-06 12:59:00-05:00,511.18,511.36,511.175,511.33,41401,21166467.8254
2024-03-06 13:00:00-05:00,511.33,511.34,511.21,511.23,54621,27926624.8133
2024-03-06 13:01:00-05:00,511.23,511.39,511.225,511.255,46515,23780445.2566
2024-03-06 13:02:00-05:00,511.26,511.45,511.26,511.37,48054,24570731.1273
2024-03-06 13:03:00-05:00,511.4,511.4301,511.36,511.4,39797,20352185.5571
2024-03-06 13:04:00-05:00,511.4,511.49,511.38,511.49,44691,22856988.1404
2024-03-06 13:05:00-05:00,511.49,511.495,511.25,511.272,81862,41862671.1522
2024-03-06 13:06:00-05:00,511.28,511.3003,511.175,511.2,45030,23021137.4474
2024-03-06 13:07:00-05:00,511.1989,511.29,511.14,511.28,111488,56997064.4902
2024-03-06 13:08:00-05:00,511.275,511.31,511.19,511.19,27193,13901945.3227
2024-03-06 13:09:00-05:00,511.19,511.2282,511.08,511.2282,71686,36646536.0046
2024-03-06 13:10:00-05:00,511.22,511.26,511.1425,511.195,60470,30912717.7834
2024-03-06 13:11:00-05:00,511.19,511.215,511.14,511.19,54822,28024458.3138
2024-03-06 13:12:00-05:00,511.19,511.22,511.135,511.135,53118,27151929.9992
2024-03-06 13:13:00-05:00,511.135,511.26,511.12,511.17,47973,24521519.4388
2024-03-06 13:14:00-05:00,511.18,511.37,511.15,511.37,54129,27674804.1446
2024-03-06 13:15:00-05:00,511.37,511.5,511.335,511.46,122709,62755222.4111
2024-03-06 13:16:00-05:00,511.46,511.49,511.34,511.34,78795,40295762.5191
2024-03-06 13:17:00-05:00,511.34,511.4,511.29,511.35,31874,16298610.5689
2024-03-06 13:18:00-05:00,511.48,511.5396,511.29,511.48,66960,34248701.5356
2024-03-06 13:19:00-05:00,511.62,511.63,511.485,511.62,71702,36684176.8899
2024-03-06 13:20:00-05:00,511.63,511.77,511.5942,511.64,67810,34693970.0122
2024-03-06 13:21:00-05:00,511.65,511.735,511.635,511.705,88327,45194937.6799
2024-03-06 13:22:00-05:00,511.71,511.815,511.65,511.81,65486,33513115.0003
2024-03-06 13:23:00-05:00,511.81,511.82,511.75,511.77,43013,22013622.9812
2024-03-06 13:24:00-05:00,511.765,511.84,511.7599,511.805,68352,34981528.5703
2024-03-06 13:25:00-05:00,511.79,511.95,511.79,511.89,99294,50822642.1115
2024-03-06 13:26:00-05:00,511.81,511.905,511.76,511.81,79846,40865981.0651
2024-03-06 13:27:00-05:00,511.809,511.87,511.8063,511.8113,60434,30930734.614
2024-03-06 13:28:00-05:00,511.82,511.89,511.8,511.86,76982,39402466.5981
2024-03-06 13:29:00-05:00,511.855,511.93,511.8399,511.86,60145,30785669.2274
2024-03-06 13:30:00-05:00,511.87,511.92,511.77,511.79,56445,28890244.4534
2024-03-06 13:31:00-05:00,511.79,511.83,511.72,511.76,62228,31846735.2697
2024-03-06 13:32:00-05:00,511.76,511.77,511.375,511.38,80461,41161434.3593
2024-03-06 13:33:00-05:00,511.3887,511.389,509.96,510.3687,644337,329178054.003
2024-03-06 13:34:00-05:00,510.38,510.75,510.24,510.45,340661,173878487.2259
2024-03-06 13:35:00-05:00,510.45,510.5696,510.06,510.245,239391,122172599.2492
2024-03-06 13:36:00-05:00,510.245,510.247,509.82,509.89,304745,155440521.7755
2024-03-06 13:37:00-05:00,509.8799,510.17,509.46,510.12,304671,155382196.0533
2024-03-06 13:38:00-05:00,510.12,510.18,509.85,510.12,187993,95898988.2421
